詞目,簡編本注音,字型目前顯示,差異(字:字型→簡編本(修法)),修法,備註
寡廉鮮恥,ㄍㄨㄚˇ ㄌㄧㄢˊ ㄒㄧㄢˇ ㄔˇ,ㄍㄨㄚˇ ㄌㄧㄢˊ ㄒㄧㄢ ㄔˇ,鮮:ㄒㄧㄢ→ㄒㄧㄢˇ(IVS+1),IVS可修,
掛冠而去,ㄍㄨㄚˋ ㄍㄨㄢ ㄦˊ ㄑㄩˋ,ㄍㄨㄚˋ ㄍㄨㄢˋ ㄦˊ ㄑㄩˋ,冠:ㄍㄨㄢˋ→ㄍㄨㄢ(IVS+1),IVS可修,
國定假日,ㄍㄨㄛˊ ㄉㄧㄥˋ ㄐㄧㄚˋ ㄖˋ,ㄍㄨㄛˊ ㄉㄧㄥˋ ㄐㄧㄚˇ ㄖˋ,假:ㄐㄧㄚˇ→ㄐㄧㄚˋ(IVS+1),IVS可修,
國都,ㄍㄨㄛˊ ㄉㄨ,ㄍㄨㄛˊ ㄉㄡ,都:ㄉㄡ→ㄉㄨ(IVS+1),IVS可修,
國難,ㄍㄨㄛˊ ㄋㄢˋ,ㄍㄨㄛˊ ㄋㄢˊ,難:ㄋㄢˊ→ㄋㄢˋ(IVS+1),IVS可修,
國樂,ㄍㄨㄛˊ ㄩㄝˋ,ㄍㄨㄛˊ ㄌㄜˋ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
果子,ㄍㄨㄛˇ ˙ㄗ,ㄍㄨㄛˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
過分,ㄍㄨㄛˋ ㄈㄣˋ,ㄍㄨㄛˋ ㄈㄣ,分:ㄈㄣ→ㄈㄣˋ(IVS+1),IVS可修,
過當,ㄍㄨㄛˋ ㄉㄤˋ,ㄍㄨㄛˋ ㄉㄤ,當:ㄉㄤ→ㄉㄤˋ(IVS+1),IVS可修,
過關斬將,ㄍㄨㄛˋ ㄍㄨㄢ ㄓㄢˇ ㄐㄧㄤˋ,ㄍㄨㄛˋ ㄍㄨㄢ ㄓㄢˇ ㄐㄧㄤ,將:ㄐㄧㄤ→ㄐㄧㄤˋ(IVS+1),IVS可修,
過日子,ㄍㄨㄛˋ ㄖˋ ˙ㄗ,ㄍㄨㄛˋ ㄖˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
拐彎抹角,ㄍㄨㄞˇ ㄨㄢ ㄇㄛˋ ㄐㄧㄠˇ,ㄍㄨㄞˇ ㄨㄢ ㄇㄛˇ ㄐㄧㄠˇ,抹:ㄇㄛˇ→ㄇㄛˋ(IVS+1),IVS可修,
怪不得,ㄍㄨㄞˋ ㄅㄨˋ ˙ㄉㄜ,ㄍㄨㄞˋ ㄅㄨˋ ㄉㄜˊ,得:ㄉㄜˊ→˙ㄉㄜ(IVS+1),IVS可修,
歸還,ㄍㄨㄟ ㄏㄨㄢˊ,ㄍㄨㄟ ㄏㄞˊ,還:ㄏㄞˊ→ㄏㄨㄢˊ(IVS+1),IVS可修,
鬼哭神號,ㄍㄨㄟˇ ㄎㄨ ㄕㄣˊ ㄏㄠˊ,ㄍㄨㄟˇ ㄎㄨ ㄕㄣˊ ㄏㄠˋ,號:ㄏㄠˋ→ㄏㄠˊ(IVS+1),IVS可修,
