詞目,簡編本注音,字型目前顯示,差異(字:字型→簡編本(修法)),修法,備註
配樂,ㄆㄟˋ ㄩㄝˋ,ㄆㄟˋ ㄌㄜˋ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
拋頭露面,ㄆㄠ ㄊㄡˊ ㄌㄡˋ ㄇㄧㄢˋ,ㄆㄠ ㄊㄡˊ ㄌㄨˋ ㄇㄧㄢˋ,露:ㄌㄨˋ→ㄌㄡˋ(IVS+1),IVS可修,
炮製,ㄆㄠˊ ㄓˋ,ㄆㄠˋ ㄓˋ,炮:ㄆㄠˋ→ㄆㄠˊ(IVS+1),IVS可修,
袍子,ㄆㄠˊ ˙ㄗ,ㄆㄠˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
番禺縣,ㄆㄢ ㄩˊ ㄒㄧㄢˋ,ㄈㄢ ㄩˊ ㄒㄧㄢˋ,番:ㄈㄢ→ㄆㄢ(IVS+1),IVS可修,
般桓,ㄆㄢˊ ㄏㄨㄢˊ,ㄅㄢ ㄏㄨㄢˊ,般:ㄅㄢ→ㄆㄢˊ(IVS+2),IVS可修,
磅礴,ㄆㄤ ㄅㄛˊ,ㄅㄤˋ ㄅㄛˊ,磅:ㄅㄤˋ→ㄆㄤ(IVS+1),IVS可修,
膀胱,ㄆㄤˊ ㄍㄨㄤ,ㄅㄤˇ ㄍㄨㄤ,膀:ㄅㄤˇ→ㄆㄤˊ(IVS+1),IVS可修,
澎湃,ㄆㄥ ㄆㄞˋ,ㄆㄥˊ ㄆㄞˋ,澎:ㄆㄥˊ→ㄆㄥ(IVS+1),IVS可修,
朋比為奸,ㄆㄥˊ ㄅㄧˋ ㄨㄟˊ ㄐㄧㄢ,ㄆㄥˊ ㄅㄧˇ ㄨㄟˊ ㄐㄧㄢ,比:ㄅㄧˇ→ㄅㄧˋ(IVS+1),IVS可修,
碰釘子,ㄆㄥˋ ㄉㄧㄥ ˙ㄗ,ㄆㄥˋ ㄉㄧㄥ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
碰運氣,ㄆㄥˋ ㄩㄣˋ ˙ㄑㄧ,ㄆㄥˋ ㄩㄣˋ ㄑㄧˋ,氣:ㄑㄧˋ→˙ㄑㄧ(字型無此讀音),字型缺讀音,
匹配,ㄆㄧˇ ㄆㄟˋ,ㄆㄧ ㄆㄟˋ,匹:ㄆㄧ→ㄆㄧˇ(IVS+1),IVS可修,
匹夫,ㄆㄧˇ ㄈㄨ,ㄆㄧ ㄈㄨ,匹:ㄆㄧ→ㄆㄧˇ(IVS+1),IVS可修,
匹夫匹婦,ㄆㄧˇ ㄈㄨ ㄆㄧˇ ㄈㄨˋ,ㄆㄧ ㄈㄨ ㄆㄧ ㄈㄨˋ,匹:ㄆㄧ→ㄆㄧˇ(IVS+1); 匹:ㄆㄧ→ㄆㄧˇ(IVS+1),IVS可修,
匹夫之勇,ㄆㄧˇ ㄈㄨ ㄓ ㄩㄥˇ,ㄆㄧ ㄈㄨ ㄓ ㄩㄥˇ,匹:ㄆㄧ→ㄆㄧˇ(IVS+1),IVS可修,
匹敵,ㄆㄧˇ ㄉㄧˊ,ㄆㄧ ㄉㄧˊ,匹:ㄆㄧ→ㄆㄧˇ(IVS+1),IVS可修,
否極泰來,ㄆㄧˇ ㄐㄧˊ ㄊㄞˋ ㄌㄞˊ,ㄈㄡˇ ㄐㄧˊ ㄊㄞˋ ㄌㄞˊ,否:ㄈㄡˇ→ㄆㄧˇ(IVS+1),IVS可修,
痞子,ㄆㄧˇ ˙ㄗ,ㄆㄧˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
癖好,ㄆㄧˇ ㄏㄠˋ,ㄆㄧˇ ㄏㄠˇ,好:ㄏㄠˇ→ㄏㄠˋ(IVS+1),IVS可修,
撇開,ㄆㄧㄝ ㄎㄞ,ㄆㄧㄝˇ ㄎㄞ,撇:ㄆㄧㄝˇ→ㄆㄧㄝ(IVS+1),IVS可修,
撇清,ㄆㄧㄝ ㄑㄧㄥ,ㄆㄧㄝˇ ㄑㄧㄥ,撇:ㄆㄧㄝˇ→ㄆㄧㄝ(IVS+1),IVS可修,
撇下,ㄆㄧㄝ ㄒㄧㄚˋ,ㄆㄧㄝˇ ㄒㄧㄚˋ,撇:ㄆㄧㄝˇ→ㄆㄧㄝ(IVS+1),IVS可修,
漂泊,ㄆㄧㄠ ㄅㄛˊ,ㄆㄧㄠˋ ㄅㄛˊ,漂:ㄆㄧㄠˋ→ㄆㄧㄠ(IVS+1),IVS可修,
漂萍,ㄆㄧㄠ ㄆㄧㄥˊ,ㄆㄧㄠˋ ㄆㄧㄥˊ,漂:ㄆㄧㄠˋ→ㄆㄧㄠ(IVS+1),IVS可修,
漂浮,ㄆㄧㄠ ㄈㄨˊ,ㄆㄧㄠˋ ㄈㄨˊ,漂:ㄆㄧㄠˋ→ㄆㄧㄠ(IVS+1),IVS可修,
漂流,ㄆㄧㄠ ㄌㄧㄡˊ,ㄆㄧㄠˋ ㄌㄧㄡˊ,漂:ㄆㄧㄠˋ→ㄆㄧㄠ(IVS+1),IVS可修,
漂送,ㄆㄧㄠ ㄙㄨㄥˋ,ㄆㄧㄠˋ ㄙㄨㄥˋ,漂:ㄆㄧㄠˋ→ㄆㄧㄠ(IVS+1),IVS可修,
漂白,ㄆㄧㄠˇ ㄅㄞˊ,ㄆㄧㄠˋ ㄅㄞˊ,漂:ㄆㄧㄠˋ→ㄆㄧㄠˇ(IVS+2),IVS可修,
漂白粉,ㄆㄧㄠˇ ㄅㄞˊ ㄈㄣˇ,ㄆㄧㄠˋ ㄅㄞˊ ㄈㄣˇ,漂:ㄆㄧㄠˋ→ㄆㄧㄠˇ(IVS+2),IVS可修,
偏好,ㄆㄧㄢ ㄏㄠˋ,ㄆㄧㄢ ㄏㄠˇ,好:ㄏㄠˇ→ㄏㄠˋ(IVS+1),IVS可修,
便便,ㄆㄧㄢˊ ㄆㄧㄢˊ,ㄅㄧㄢˋ ㄅㄧㄢˋ,便:ㄅㄧㄢˋ→ㄆㄧㄢˊ(IVS+1); 便:ㄅㄧㄢˋ→ㄆㄧㄢˊ(IVS+1),IVS可修,
片子,ㄆㄧㄢˋ ˙ㄗ,ㄆㄧㄢˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
騙子,ㄆㄧㄢˋ ˙ㄗ,ㄆㄧㄢˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
品行,ㄆㄧㄣˇ ㄒㄧㄥˋ,ㄆㄧㄣˇ ㄒㄧㄥˊ,行:ㄒㄧㄥˊ→ㄒㄧㄥˋ(IVS+2),IVS可修,
評量,ㄆㄧㄥˊ ㄌㄧㄤˊ,ㄆㄧㄥˊ ㄌㄧㄤˋ,量:ㄌㄧㄤˋ→ㄌㄧㄤˊ(IVS+1),IVS可修,
評傳,ㄆㄧㄥˊ ㄓㄨㄢˋ,ㄆㄧㄥˊ ㄔㄨㄢˊ,傳:ㄔㄨㄢˊ→ㄓㄨㄢˋ(IVS+1),IVS可修,
萍水相逢,ㄆㄧㄥˊ ㄕㄨㄟˇ ㄒㄧㄤ ㄈㄥˊ,ㄆㄧㄥˊ ㄕㄨㄟˇ ㄒㄧㄤˋ ㄈㄥˊ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
暴露,ㄆㄨˋ ㄌㄨˋ,ㄅㄠˋ ㄌㄨˋ,暴:ㄅㄠˋ→ㄆㄨˋ(IVS+1),IVS可修,
鋪子,ㄆㄨˋ ˙ㄗ,ㄆㄨ ㄗˇ,鋪:ㄆㄨ→ㄆㄨˋ(IVS+1); 子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
鋪位,ㄆㄨˋ ㄨㄟˋ,ㄆㄨ ㄨㄟˋ,鋪:ㄆㄨ→ㄆㄨˋ(IVS+1),IVS可修,
媽媽,ㄇㄚ ˙ㄇㄚ,ㄇㄚ ㄇㄚ,媽:ㄇㄚ→˙ㄇㄚ(IVS+1),IVS可修,
嬤嬤,ㄇㄚ ˙ㄇㄚ,ㄇㄚ ㄇㄚ,嬤:ㄇㄚ→˙ㄇㄚ(IVS+1),IVS可修,
麻將,ㄇㄚˊ ㄐㄧㄤˋ,ㄇㄚˊ ㄐㄧㄤ,將:ㄐㄧㄤ→ㄐㄧㄤˋ(IVS+1),IVS可修,
麻子,ㄇㄚˊ ˙ㄗ,ㄇㄚˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
馬馬虎虎,ㄇㄚˇ ㄇㄚˇ ㄏㄨ ㄏㄨ,ㄇㄚˇ ㄇㄚˇ ㄏㄨˇ ㄏㄨˇ,虎:ㄏㄨˇ→ㄏㄨ(IVS+1); 虎:ㄏㄨˇ→ㄏㄨ(IVS+1),IVS可修,
馬虎,ㄇㄚˇ ㄏㄨ,ㄇㄚˇ ㄏㄨˇ,虎:ㄏㄨˇ→ㄏㄨ(IVS+1),IVS可修,
嗎啡,ㄇㄚˇ ㄈㄟ,˙ㄇㄚ ㄈㄟ,嗎:˙ㄇㄚ→ㄇㄚˇ(IVS+1),IVS可修,
碼頭,ㄇㄚˇ ˙ㄊㄡ,ㄇㄚˇ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
碼子,ㄇㄚˇ ˙ㄗ,ㄇㄚˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
螞蚱,ㄇㄚˋ ㄓㄚˋ,ㄇㄚˇ ㄓㄚˋ,螞:ㄇㄚˇ→ㄇㄚˋ(IVS+1),IVS可修,
摸不著,ㄇㄛ ㄅㄨˋ ㄓㄠˊ,ㄇㄛ ㄅㄨˋ ˙ㄓㄜ,著:˙ㄓㄜ→ㄓㄠˊ(IVS+3),IVS可修,
磨難,ㄇㄛˊ ㄋㄢˋ,ㄇㄛˊ ㄋㄢˊ,難:ㄋㄢˊ→ㄋㄢˋ(IVS+1),IVS可修,
魔爪,ㄇㄛˊ ㄓㄠˇ,ㄇㄛˊ ㄓㄨㄚˇ,爪:ㄓㄨㄚˇ→ㄓㄠˇ(IVS+1),IVS可修,
模子,ㄇㄛˊ ˙ㄗ,ㄇㄛˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
抹煞,ㄇㄛˇ ㄕㄚ,ㄇㄛˇ ㄕㄚˋ,煞:ㄕㄚˋ→ㄕㄚ(IVS+1),IVS可修,
万俟,ㄇㄛˋ ㄑㄧˊ,ㄇㄛˋ ㄙˋ,俟:ㄙˋ→ㄑㄧˊ(IVS+1),IVS可修,
末了,ㄇㄛˋ ㄌㄧㄠˇ,ㄇㄛˋ ˙ㄌㄜ,了:˙ㄌㄜ→ㄌㄧㄠˇ(IVS+1),IVS可修,
沒沒無聞,ㄇㄛˋ ㄇㄛˋ ㄨˊ ㄨㄣˊ,ㄇㄟˊ ㄇㄟˊ ㄨˊ ㄨㄣˊ,沒:ㄇㄟˊ→ㄇㄛˋ(IVS+1); 沒:ㄇㄟˊ→ㄇㄛˋ(IVS+1),IVS可修,
沒奈何,ㄇㄛˋ ㄋㄞˋ ㄏㄜˊ,ㄇㄟˊ ㄋㄞˋ ㄏㄜˊ,沒:ㄇㄟˊ→ㄇㄛˋ(IVS+1),IVS可修,
沒落,ㄇㄛˋ ㄌㄨㄛˋ,ㄇㄟˊ ㄌㄨㄛˋ,沒:ㄇㄟˊ→ㄇㄛˋ(IVS+1),IVS可修,
沒齒難忘,ㄇㄛˋ ㄔˇ ㄋㄢˊ ㄨㄤˋ,ㄇㄟˊ ㄔˇ ㄋㄢˊ ㄨㄤˋ,沒:ㄇㄟˊ→ㄇㄛˋ(IVS+1),IVS可修,
沒收,ㄇㄛˋ ㄕㄡ,ㄇㄟˊ ㄕㄡ,沒:ㄇㄟˊ→ㄇㄛˋ(IVS+1),IVS可修,
冒頓,ㄇㄛˋ ㄉㄨˊ,ㄇㄠˋ ㄉㄨㄣˋ,冒:ㄇㄠˋ→ㄇㄛˋ(IVS+1); 頓:ㄉㄨㄣˋ→ㄉㄨˊ(IVS+1),IVS可修,
脈脈,ㄇㄛˋ ㄇㄛˋ,ㄇㄞˋ ㄇㄞˋ,脈:ㄇㄞˋ→ㄇㄛˋ(IVS+1); 脈:ㄇㄞˋ→ㄇㄛˋ(IVS+1),IVS可修,
磨盤,ㄇㄛˋ ㄆㄢˊ,ㄇㄛˊ ㄆㄢˊ,磨:ㄇㄛˊ→ㄇㄛˋ(IVS+1),IVS可修,
磨坊,ㄇㄛˋ ㄈㄤ,ㄇㄛˊ ㄈㄤ,磨:ㄇㄛˊ→ㄇㄛˋ(IVS+1),IVS可修,
埋沒,ㄇㄞˊ ㄇㄛˋ,ㄇㄞˊ ㄇㄟˊ,沒:ㄇㄟˊ→ㄇㄛˋ(IVS+1),IVS可修,
買櫝還珠,ㄇㄞˇ ㄉㄨˊ ㄏㄨㄢˊ ㄓㄨ,ㄇㄞˇ ㄉㄨˊ ㄏㄞˊ ㄓㄨ,還:ㄏㄞˊ→ㄏㄨㄢˊ(IVS+1),IVS可修,
麥子,ㄇㄞˋ ˙ㄗ,ㄇㄞˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
賣關子,ㄇㄞˋ ㄍㄨㄢ ˙ㄗ,ㄇㄞˋ ㄍㄨㄢ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
沒法子,ㄇㄟˊ ㄈㄚˊ ˙ㄗ,ㄇㄟˊ ㄈㄚˇ ㄗˇ,法:ㄈㄚˇ→ㄈㄚˊ(IVS+1); 子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
沒空,ㄇㄟˊ ㄎㄨㄥˋ,ㄇㄟˊ ㄎㄨㄥ,空:ㄎㄨㄥ→ㄎㄨㄥˋ(IVS+1),IVS可修,
沒轍,ㄇㄟˊ ㄓㄜˊ,ㄇㄟˊ ㄔㄜˋ,轍:ㄔㄜˋ→ㄓㄜˊ(IVS+1),IVS可修,
沒著落,ㄇㄟˊ ㄓㄨㄛˊ ㄌㄨㄛˋ,ㄇㄟˊ ˙ㄓㄜ ㄌㄨㄛˋ,著:˙ㄓㄜ→ㄓㄨㄛˊ(IVS+4),IVS可修,
沒出息,ㄇㄟˊ ㄔㄨ ˙ㄒㄧ,ㄇㄟˊ ㄔㄨ ㄒㄧˊ,息:ㄒㄧˊ→˙ㄒㄧ(字型無此讀音),字型缺讀音,
沒意思,ㄇㄟˊ ㄧˋ ˙ㄙ,ㄇㄟˊ ㄧˋ ㄙ,思:ㄙ→˙ㄙ(IVS+2),IVS可修,
沒完沒了,ㄇㄟˊ ㄨㄢˊ ㄇㄟˊ ㄌㄧㄠˇ,ㄇㄟˊ ㄨㄢˊ ㄇㄟˊ ˙ㄌㄜ,了:˙ㄌㄜ→ㄌㄧㄠˇ(IVS+1),IVS可修,
梅子,ㄇㄟˊ ˙ㄗ,ㄇㄟˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
美不勝收,ㄇㄟˇ ㄅㄨˋ ㄕㄥ ㄕㄡ,ㄇㄟˇ ㄅㄨˋ ㄕㄥˋ ㄕㄡ,勝:ㄕㄥˋ→ㄕㄥ(IVS+1),IVS可修,
美得冒泡,ㄇㄟˇ ˙ㄉㄜ ㄇㄠˋ ㄆㄠˋ,ㄇㄟˇ ㄉㄜˊ ㄇㄠˋ ㄆㄠˋ,得:ㄉㄜˊ→˙ㄉㄜ(IVS+1),IVS可修,
美人胚子,ㄇㄟˇ ㄖㄣˊ ㄆㄟ ˙ㄗ,ㄇㄟˇ ㄖㄣˊ ㄆㄟ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
妹妹,ㄇㄟˋ ˙ㄇㄟ,ㄇㄟˋ ㄇㄟˋ,妹:ㄇㄟˋ→˙ㄇㄟ(IVS+1),IVS可修,
茅塞,ㄇㄠˊ ㄙㄜˋ,ㄇㄠˊ ㄙㄞ,塞:ㄙㄞ→ㄙㄜˋ(IVS+1),IVS可修,
茅塞頓開,ㄇㄠˊ ㄙㄜˋ ㄉㄨㄣˋ ㄎㄞ,ㄇㄠˊ ㄙㄞ ㄉㄨㄣˋ ㄎㄞ,塞:ㄙㄞ→ㄙㄜˋ(IVS+1),IVS可修,
茂盛,ㄇㄠˋ ㄕㄥˋ,ㄇㄠˋ ㄔㄥˊ,盛:ㄔㄥˊ→ㄕㄥˋ(IVS+1),IVS可修,
冒險犯難,ㄇㄠˋ ㄒㄧㄢˇ ㄈㄢˋ ㄋㄢˋ,ㄇㄠˋ ㄒㄧㄢˇ ㄈㄢˋ ㄋㄢˊ,難:ㄋㄢˊ→ㄋㄢˋ(IVS+1),IVS可修,
帽子,ㄇㄠˋ ˙ㄗ,ㄇㄠˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
埋怨,ㄇㄢˊ ㄩㄢˋ,ㄇㄞˊ ㄩㄢˋ,埋:ㄇㄞˊ→ㄇㄢˊ(IVS+1),IVS可修,
蔓菁,ㄇㄢˊ ㄐㄧㄥ,ㄇㄢˋ ㄐㄧㄥ,蔓:ㄇㄢˋ→ㄇㄢˊ(IVS+1),IVS可修,
饅頭,ㄇㄢˊ ˙ㄊㄡ,ㄇㄢˊ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
蠻橫,ㄇㄢˊ ㄏㄥˋ,ㄇㄢˊ ㄏㄥˊ,橫:ㄏㄥˊ→ㄏㄥˋ(IVS+1),IVS可修,
滿腦子,ㄇㄢˇ ㄋㄠˇ ˙ㄗ,ㄇㄢˇ ㄋㄠˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
漫無目的,ㄇㄢˋ ㄨˊ ㄇㄨˋ ㄉㄧˋ,ㄇㄢˋ ㄨˊ ㄇㄨˋ ˙ㄉㄜ,的:˙ㄉㄜ→ㄉㄧˋ(IVS+2),IVS可修,
謾罵,ㄇㄢˋ ㄇㄚˋ,ㄇㄢˊ ㄇㄚˋ,謾:ㄇㄢˊ→ㄇㄢˋ(IVS+1),IVS可修,
門縫,ㄇㄣˊ ㄈㄥˋ,ㄇㄣˊ ㄈㄥˊ,縫:ㄈㄥˊ→ㄈㄥˋ(IVS+1),IVS可修,
悶悶不樂,ㄇㄣˋ ㄇㄣˋ ㄅㄨˋ ㄌㄜˋ,ㄇㄣ ㄇㄣ ㄅㄨˋ ㄌㄜˋ,悶:ㄇㄣ→ㄇㄣˋ(IVS+1); 悶:ㄇㄣ→ㄇㄣˋ(IVS+1),IVS可修,
悶酒,ㄇㄣˋ ㄐㄧㄡˇ,ㄇㄣ ㄐㄧㄡˇ,悶:ㄇㄣ→ㄇㄣˋ(IVS+1),IVS可修,
忙不迭地,ㄇㄤˊ ㄅㄨˋ ㄉㄧㄝˊ ˙ㄉㄜ,ㄇㄤˊ ㄅㄨˋ ㄉㄧㄝˊ ㄉㄧˋ,地:ㄉㄧˋ→˙ㄉㄜ(IVS+1),IVS可修,
忙得不可開交,ㄇㄤˊ ˙ㄉㄜ ㄅㄨˋ ㄎㄜˇ ㄎㄞ ㄐㄧㄠ,ㄇㄤˊ ㄉㄜˊ ㄅㄨˋ ㄎㄜˇ ㄎㄞ ㄐㄧㄠ,得:ㄉㄜˊ→˙ㄉㄜ(IVS+1),IVS可修,
芒種,ㄇㄤˊ ㄓㄨㄥˋ,ㄇㄤˊ ㄓㄨㄥˇ,種:ㄓㄨㄥˇ→ㄓㄨㄥˋ(IVS+1),IVS可修,
矇蔽,ㄇㄥ ㄅㄧˋ,ㄇㄥˊ ㄅㄧˋ,矇:ㄇㄥˊ→ㄇㄥ(IVS+1),IVS可修,
矇騙,ㄇㄥ ㄆㄧㄢˋ,ㄇㄥˊ ㄆㄧㄢˋ,矇:ㄇㄥˊ→ㄇㄥ(IVS+1),IVS可修,
矇混,ㄇㄥ ㄏㄨㄣˋ,ㄇㄥˊ ㄏㄨㄣˋ,矇:ㄇㄥˊ→ㄇㄥ(IVS+1),IVS可修,
蒙難,ㄇㄥˊ ㄋㄢˋ,ㄇㄥˊ ㄋㄢˊ,難:ㄋㄢˊ→ㄋㄢˋ(IVS+1),IVS可修,
猛將,ㄇㄥˇ ㄐㄧㄤˋ,ㄇㄥˇ ㄐㄧㄤ,將:ㄐㄧㄤ→ㄐㄧㄤˋ(IVS+1),IVS可修,
彌撒,ㄇㄧˊ ㄙㄚ,ㄇㄧˊ ㄙㄚˇ,撒:ㄙㄚˇ→ㄙㄚ(IVS+1),IVS可修,
彌撒曲,ㄇㄧˊ ㄙㄚ ㄑㄩˇ,ㄇㄧˊ ㄙㄚˇ ㄑㄩˇ,撒:ㄙㄚˇ→ㄙㄚ(IVS+1),IVS可修,
靡爛,ㄇㄧˊ ㄌㄢˋ,ㄇㄧˇ ㄌㄢˋ,靡:ㄇㄧˇ→ㄇㄧˊ(字型無此讀音),字型缺讀音,
密切,ㄇㄧˋ ㄑㄧㄝˋ,ㄇㄧˋ ㄑㄧㄝ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
苗頭,ㄇㄧㄠˊ ˙ㄊㄡ,ㄇㄧㄠˊ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
妙處,ㄇㄧㄠˋ ㄔㄨˋ,ㄇㄧㄠˋ ㄔㄨˇ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1),IVS可修,
免不了,ㄇㄧㄢˇ ㄅㄨˋ ㄌㄧㄠˇ,ㄇㄧㄢˇ ㄅㄨˋ ˙ㄌㄜ,了:˙ㄌㄜ→ㄌㄧㄠˇ(IVS+1),IVS可修,
免得,ㄇㄧㄢˇ ˙ㄉㄜ,ㄇㄧㄢˇ ㄉㄜˊ,得:ㄉㄜˊ→˙ㄉㄜ(IVS+1),IVS可修,
勉強,ㄇㄧㄢˇ ㄑㄧㄤˇ,ㄇㄧㄢˇ ㄑㄧㄤˊ,強:ㄑㄧㄤˊ→ㄑㄧㄤˇ(IVS+1),IVS可修,
面面相覷,ㄇㄧㄢˋ ㄇㄧㄢˋ ㄒㄧㄤ ㄑㄩˋ,ㄇㄧㄢˋ ㄇㄧㄢˋ ㄒㄧㄤˋ ㄑㄩˋ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
面子,ㄇㄧㄢˋ ˙ㄗ,ㄇㄧㄢˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
民意調查,ㄇㄧㄣˊ ㄧˋ ㄉㄧㄠˋ ㄔㄚˊ,ㄇㄧㄣˊ ㄧˋ ㄊㄧㄠˊ ㄔㄚˊ,調:ㄊㄧㄠˊ→ㄉㄧㄠˋ(IVS+1),IVS可修,
泯沒,ㄇㄧㄣˇ ㄇㄛˋ,ㄇㄧㄣˇ ㄇㄟˊ,沒:ㄇㄟˊ→ㄇㄛˋ(IVS+1),IVS可修,
澠池,ㄇㄧㄣˇ ㄔˊ,ㄕㄥˊ ㄔˊ,澠:ㄕㄥˊ→ㄇㄧㄣˇ(IVS+1),IVS可修,
名不見經傳,ㄇㄧㄥˊ ㄅㄨˋ ㄐㄧㄢˋ ㄐㄧㄥ ㄓㄨㄢˋ,ㄇㄧㄥˊ ㄅㄨˋ ㄐㄧㄢˋ ㄐㄧㄥ ㄔㄨㄢˊ,傳:ㄔㄨㄢˊ→ㄓㄨㄢˋ(IVS+1),IVS可修,
名分,ㄇㄧㄥˊ ㄈㄣˋ,ㄇㄧㄥˊ ㄈㄣ,分:ㄈㄣ→ㄈㄣˋ(IVS+1),IVS可修,
名角,ㄇㄧㄥˊ ㄐㄩㄝˊ,ㄇㄧㄥˊ ㄐㄧㄠˇ,角:ㄐㄧㄠˇ→ㄐㄩㄝˊ(IVS+1),IVS可修,
名著,ㄇㄧㄥˊ ㄓㄨˋ,ㄇㄧㄥˊ ˙ㄓㄜ,著:˙ㄓㄜ→ㄓㄨˋ(IVS+1),IVS可修,
名實相符,ㄇㄧㄥˊ ㄕˊ ㄒㄧㄤ ㄈㄨˊ,ㄇㄧㄥˊ ㄕˊ ㄒㄧㄤˋ ㄈㄨˊ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
名字,ㄇㄧㄥˊ ˙ㄗ,ㄇㄧㄥˊ ㄗˋ,字:ㄗˋ→˙ㄗ(IVS+1),IVS可修,
命根子,ㄇㄧㄥˋ ㄍㄣ ˙ㄗ,ㄇㄧㄥˋ ㄍㄣ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
命中,ㄇㄧㄥˋ ㄓㄨㄥˋ,ㄇㄧㄥˋ ㄓㄨㄥ,中:ㄓㄨㄥ→ㄓㄨㄥˋ(IVS+1),IVS可修,
木頭,ㄇㄨˋ ˙ㄊㄡ,ㄇㄨˋ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
目不暇給,ㄇㄨˋ ㄅㄨˋ ㄒㄧㄚˊ ㄐㄧˇ,ㄇㄨˋ ㄅㄨˋ ㄒㄧㄚˊ ㄍㄟˇ,給:ㄍㄟˇ→ㄐㄧˇ(IVS+1),IVS可修,
目的,ㄇㄨˋ ㄉㄧˋ,ㄇㄨˋ ˙ㄉㄜ,的:˙ㄉㄜ→ㄉㄧˋ(IVS+2),IVS可修,
目的地,ㄇㄨˋ ㄉㄧˋ ㄉㄧˋ,ㄇㄨˋ ˙ㄉㄜ ㄉㄧˋ,的:˙ㄉㄜ→ㄉㄧˋ(IVS+2),IVS可修,
目空一切,ㄇㄨˋ ㄎㄨㄥ ㄧ ㄑㄧㄝˋ,ㄇㄨˋ ㄎㄨㄥ ㄧ ㄑㄧㄝ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
目無尊長,ㄇㄨˋ ㄨˊ ㄗㄨㄣ ㄓㄤˇ,ㄇㄨˋ ㄨˊ ㄗㄨㄣ ㄔㄤˊ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
發難,ㄈㄚ ㄋㄢˋ,ㄈㄚ ㄋㄢˊ,難:ㄋㄢˊ→ㄋㄢˋ(IVS+1),IVS可修,
發還,ㄈㄚ ㄏㄨㄢˊ,ㄈㄚ ㄏㄞˊ,還:ㄏㄞˊ→ㄏㄨㄢˊ(IVS+1),IVS可修,
發噱,ㄈㄚ ㄐㄩㄝˊ,ㄈㄚ ㄒㄩㄝ,噱:ㄒㄩㄝ→ㄐㄩㄝˊ(IVS+1),IVS可修,
發人深省,ㄈㄚ ㄖㄣˊ ㄕㄣ ㄒㄧㄥˇ,ㄈㄚ ㄖㄣˊ ㄕㄣ ㄕㄥˇ,省:ㄕㄥˇ→ㄒㄧㄥˇ(IVS+1),IVS可修,
法子,ㄈㄚˊ ˙ㄗ,ㄈㄚˇ ㄗˇ,法:ㄈㄚˇ→ㄈㄚˊ(IVS+1); 子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
佛頭著糞,ㄈㄛˊ ㄊㄡˊ ㄓㄨㄛˊ ㄈㄣˋ,ㄈㄛˊ ㄊㄡˊ ˙ㄓㄜ ㄈㄣˋ,著:˙ㄓㄜ→ㄓㄨㄛˊ(IVS+4),IVS可修,
妃子,ㄈㄟ ˙ㄗ,ㄈㄟ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
非難,ㄈㄟ ㄋㄢˋ,ㄈㄟ ㄋㄢˊ,難:ㄋㄢˊ→ㄋㄢˋ(IVS+1),IVS可修,
