詞目,簡編本注音一式,字型目前顯示,插碼後字串,碼點,哪個字用第幾讀音,備註
點將錄,ㄉㄧㄢˇ ㄐㄧㄤˋ ㄌㄨˋ,ㄉㄧㄢˇ ㄐㄧㄤ ㄌㄨˋ,點將󠇡錄,U+9EDE U+5C07 U+E01E1 U+9304,將:IVS+1,
點著,ㄉㄧㄢˇ ㄓㄠˊ,ㄉㄧㄢˇ ˙ㄓㄜ,點著󠇣,U+9EDE U+8457 U+E01E3,著:IVS+3,
點子,ㄉㄧㄢˇ ˙ㄗ,ㄉㄧㄢˇ ㄗˇ,點子󠇡,U+9EDE U+5B50 U+E01E1,子:IVS+1,
店鋪,ㄉㄧㄢˋ ㄆㄨˋ,ㄉㄧㄢˋ ㄆㄨ,店鋪󠇡,U+5E97 U+92EA U+E01E1,鋪:IVS+1,
店長,ㄉㄧㄢˋ ㄓㄤˇ,ㄉㄧㄢˋ ㄔㄤˊ,店長󠇡,U+5E97 U+9577 U+E01E1,長:IVS+1,
電腦合成樂,ㄉㄧㄢˋ ㄋㄠˇ ㄏㄜˊ ㄔㄥˊ ㄩㄝˋ,ㄉㄧㄢˋ ㄋㄠˇ ㄏㄜˊ ㄔㄥˊ ㄌㄜˋ,電腦合成樂󠇡,U+96FB U+8166 U+5408 U+6210 U+6A02 U+E01E1,樂:IVS+1,
電腦音樂,ㄉㄧㄢˋ ㄋㄠˇ ㄧㄣ ㄩㄝˋ,ㄉㄧㄢˋ ㄋㄠˇ ㄧㄣ ㄌㄜˋ,電腦音樂󠇡,U+96FB U+8166 U+97F3 U+6A02 U+E01E1,樂:IVS+1,
電荷,ㄉㄧㄢˋ ㄏㄜˋ,ㄉㄧㄢˋ ㄏㄜˊ,電荷󠇡,U+96FB U+8377 U+E01E1,荷:IVS+1,
電鑽,ㄉㄧㄢˋ ㄗㄨㄢˋ,ㄉㄧㄢˋ ㄗㄨㄢ,電鑽󠇡,U+96FB U+947D U+E01E1,鑽:IVS+1,
墊子,ㄉㄧㄢˋ ˙ㄗ,ㄉㄧㄢˋ ㄗˇ,墊子󠇡,U+588A U+5B50 U+E01E1,子:IVS+1,
釘子,ㄉㄧㄥ ˙ㄗ,ㄉㄧㄥ ㄗˇ,釘子󠇡,U+91D8 U+5B50 U+E01E1,子:IVS+1,
耵聹,ㄉㄧㄥˇ ㄋㄧㄥˊ,ㄊㄧㄥ ㄋㄧㄥˊ,耵󠇡聹,U+8035 U+E01E1 U+8079,耵:IVS+1,
鼎力相助,ㄉㄧㄥˇ ㄌㄧˋ ㄒㄧㄤ ㄓㄨˋ,ㄉㄧㄥˇ ㄌㄧˋ ㄒㄧㄤˋ ㄓㄨˋ,鼎力相󠇡助,U+9F0E U+529B U+76F8 U+E01E1 U+52A9,相:IVS+1,
鼎盛,ㄉㄧㄥˇ ㄕㄥˋ,ㄉㄧㄥˇ ㄔㄥˊ,鼎盛󠇡,U+9F0E U+76DB U+E01E1,盛:IVS+1,
定都,ㄉㄧㄥˋ ㄉㄨ,ㄉㄧㄥˋ ㄉㄡ,定都󠇡,U+5B9A U+90FD U+E01E1,都:IVS+1,
定省,ㄉㄧㄥˋ ㄒㄧㄥˇ,ㄉㄧㄥˋ ㄕㄥˇ,定省󠇡,U+5B9A U+7701 U+E01E1,省:IVS+1,
釘書機,ㄉㄧㄥˋ ㄕㄨ ㄐㄧ,ㄉㄧㄥ ㄕㄨ ㄐㄧ,釘󠇡書機,U+91D8 U+E01E1 U+66F8 U+6A5F,釘:IVS+1,
都馬調,ㄉㄨ ㄇㄚˇ ㄉㄧㄠˋ,ㄉㄡ ㄇㄚˇ ㄊㄧㄠˊ,都󠇡馬調󠇡,U+90FD U+E01E1 U+99AC U+8ABF U+E01E1,都:IVS+1; 調:IVS+1,
都會,ㄉㄨ ㄏㄨㄟˋ,ㄉㄡ ㄏㄨㄟˋ,都󠇡會,U+90FD U+E01E1 U+6703,都:IVS+1,
都城,ㄉㄨ ㄔㄥˊ,ㄉㄡ ㄔㄥˊ,都󠇡城,U+90FD U+E01E1 U+57CE,都:IVS+1,
都市,ㄉㄨ ㄕˋ,ㄉㄡ ㄕˋ,都󠇡市,U+90FD U+E01E1 U+5E02,都:IVS+1,
都市病,ㄉㄨ ㄕˋ ㄅㄧㄥˋ,ㄉㄡ ㄕˋ ㄅㄧㄥˋ,都󠇡市病,U+90FD U+E01E1 U+5E02 U+75C5,都:IVS+1,
都市化,ㄉㄨ ㄕˋ ㄏㄨㄚˋ,ㄉㄡ ㄕˋ ㄏㄨㄚˋ,都󠇡市化,U+90FD U+E01E1 U+5E02 U+5316,都:IVS+1,
都市計畫,ㄉㄨ ㄕˋ ㄐㄧˋ ㄏㄨㄚˋ,ㄉㄡ ㄕˋ ㄐㄧˋ ㄏㄨㄚˋ,都󠇡市計畫,U+90FD U+E01E1 U+5E02 U+8A08 U+756B,都:IVS+1,
堵塞,ㄉㄨˇ ㄙㄜˋ,ㄉㄨˇ ㄙㄞ,堵塞󠇡,U+5835 U+585E U+E01E1,塞:IVS+1,
杜塞,ㄉㄨˋ ㄙㄜˋ,ㄉㄨˋ ㄙㄞ,杜塞󠇡,U+675C U+585E U+E01E1,塞:IVS+1,
度假,ㄉㄨˋ ㄐㄧㄚˋ,ㄉㄨˋ ㄐㄧㄚˇ,度假󠇡,U+5EA6 U+5047 U+E01E1,假:IVS+1,
度假勝地,ㄉㄨˋ ㄐㄧㄚˋ ㄕㄥˋ ㄉㄧˋ,ㄉㄨˋ ㄐㄧㄚˇ ㄕㄥˋ ㄉㄧˋ,度假󠇡勝地,U+5EA6 U+5047 U+E01E1 U+52DD U+5730,假:IVS+1,
度假村,ㄉㄨˋ ㄐㄧㄚˋ ㄘㄨㄣ,ㄉㄨˋ ㄐㄧㄚˇ ㄘㄨㄣ,度假󠇡村,U+5EA6 U+5047 U+E01E1 U+6751,假:IVS+1,
多難,ㄉㄨㄛ ㄋㄢˋ,ㄉㄨㄛ ㄋㄢˊ,多難󠇡,U+591A U+96E3 U+E01E1,難:IVS+1,
多難興邦,ㄉㄨㄛ ㄋㄢˋ ㄒㄧㄥ ㄅㄤ,ㄉㄨㄛ ㄋㄢˊ ㄒㄧㄥ ㄅㄤ,多難󠇡興邦,U+591A U+96E3 U+E01E1 U+8208 U+90A6,難:IVS+1,
多重,ㄉㄨㄛ ㄔㄨㄥˊ,ㄉㄨㄛ ㄓㄨㄥˋ,多重󠇡,U+591A U+91CD U+E01E1,重:IVS+1,
多重性格,ㄉㄨㄛ ㄔㄨㄥˊ ㄒㄧㄥˋ ㄍㄜˊ,ㄉㄨㄛ ㄓㄨㄥˋ ㄒㄧㄥˋ ㄍㄜˊ,多重󠇡性格,U+591A U+91CD U+E01E1 U+6027 U+683C,重:IVS+1,
多重人格,ㄉㄨㄛ ㄔㄨㄥˊ ㄖㄣˊ ㄍㄜˊ,ㄉㄨㄛ ㄓㄨㄥˋ ㄖㄣˊ ㄍㄜˊ,多重󠇡人格,U+591A U+91CD U+E01E1 U+4EBA U+683C,重:IVS+1,
多災多難,ㄉㄨㄛ ㄗㄞ ㄉㄨㄛ ㄋㄢˋ,ㄉㄨㄛ ㄗㄞ ㄉㄨㄛ ㄋㄢˊ,多災多難󠇡,U+591A U+707D U+591A U+96E3 U+E01E1,難:IVS+1,
躲不了,ㄉㄨㄛˇ ㄅㄨˋ ㄌㄧㄠˇ,ㄉㄨㄛˇ ㄅㄨˋ ˙ㄌㄜ,躲不了󠇡,U+8EB2 U+4E0D U+4E86 U+E01E1,了:IVS+1,
隊長,ㄉㄨㄟˋ ㄓㄤˇ,ㄉㄨㄟˋ ㄔㄤˊ,隊長󠇡,U+968A U+9577 U+E01E1,長:IVS+1,
對調,ㄉㄨㄟˋ ㄉㄧㄠˋ,ㄉㄨㄟˋ ㄊㄧㄠˊ,對調󠇡,U+5C0D U+8ABF U+E01E1,調:IVS+1,
對牛彈琴,ㄉㄨㄟˋ ㄋㄧㄡˊ ㄊㄢˊ ㄑㄧㄣˊ,ㄉㄨㄟˋ ㄋㄧㄡˊ ㄉㄢˋ ㄑㄧㄣˊ,對牛彈󠇡琴,U+5C0D U+725B U+5F48 U+E01E1 U+7434,彈:IVS+1,
對稱,ㄉㄨㄟˋ ㄔㄥˋ,ㄉㄨㄟˋ ㄔㄥ,對稱󠇡,U+5C0D U+7A31 U+E01E1,稱:IVS+1,
對子,ㄉㄨㄟˋ ˙ㄗ,ㄉㄨㄟˋ ㄗˇ,對子󠇡,U+5C0D U+5B50 U+E01E1,子:IVS+1,
對應,ㄉㄨㄟˋ ㄧㄥˋ,ㄉㄨㄟˋ ㄧㄥ,對應󠇡,U+5C0D U+61C9 U+E01E1,應:IVS+1,
端盤子,ㄉㄨㄢ ㄆㄢˊ ˙ㄗ,ㄉㄨㄢ ㄆㄢˊ ㄗˇ,端盤子󠇡,U+7AEF U+76E4 U+5B50 U+E01E1,子:IVS+1,
端的,ㄉㄨㄢ ㄉㄧˋ,ㄉㄨㄢ ˙ㄉㄜ,端的󠇢,U+7AEF U+7684 U+E01E2,的:IVS+2,
端架子,ㄉㄨㄢ ㄐㄧㄚˋ ˙ㄗ,ㄉㄨㄢ ㄐㄧㄚˋ ㄗˇ,端架子󠇡,U+7AEF U+67B6 U+5B50 U+E01E1,子:IVS+1,
短兵相接,ㄉㄨㄢˇ ㄅㄧㄥ ㄒㄧㄤ ㄐㄧㄝ,ㄉㄨㄢˇ ㄅㄧㄥ ㄒㄧㄤˋ ㄐㄧㄝ,短兵相󠇡接,U+77ED U+5175 U+76F8 U+E01E1 U+63A5,相:IVS+1,
短處,ㄉㄨㄢˇ ㄔㄨˋ,ㄉㄨㄢˇ ㄔㄨˇ,短處󠇡,U+77ED U+8655 U+E01E1,處:IVS+1,
燉煌,ㄉㄨㄣ ㄏㄨㄤˊ,ㄉㄨㄣˋ ㄏㄨㄤˊ,燉󠇡煌,U+71C9 U+E01E1 U+714C,燉:IVS+1,
東倒西歪,ㄉㄨㄥ ㄉㄠˇ ㄒㄧ ㄨㄞ,ㄉㄨㄥ ㄉㄠˋ ㄒㄧ ㄨㄞ,東倒󠇡西歪,U+6771 U+5012 U+E01E1 U+897F U+6B6A,倒:IVS+1,
東都,ㄉㄨㄥ ㄉㄨ,ㄉㄨㄥ ㄉㄡ,東都󠇡,U+6771 U+90FD U+E01E1,都:IVS+1,
東鱗西爪,ㄉㄨㄥ ㄌㄧㄣˊ ㄒㄧ ㄓㄠˇ,ㄉㄨㄥ ㄌㄧㄣˊ ㄒㄧ ㄓㄨㄚˇ,東鱗西爪󠇡,U+6771 U+9C57 U+897F U+722A U+E01E1,爪:IVS+1,
東莞縣,ㄉㄨㄥ ㄍㄨㄢˇ ㄒㄧㄢˋ,ㄉㄨㄥ ㄨㄢˇ ㄒㄧㄢˋ,東莞󠇡縣,U+6771 U+839E U+E01E1 U+7E23,莞:IVS+1,
東轉西晃,ㄉㄨㄥ ㄓㄨㄢˋ ㄒㄧ ㄏㄨㄤˋ,ㄉㄨㄥ ㄓㄨㄢˇ ㄒㄧ ㄏㄨㄤˋ,東轉󠇡西晃,U+6771 U+8F49 U+E01E1 U+897F U+6643,轉:IVS+1,
董事長,ㄉㄨㄥˇ ㄕˋ ㄓㄤˇ,ㄉㄨㄥˇ ㄕˋ ㄔㄤˊ,董事長󠇡,U+8463 U+4E8B U+9577 U+E01E1,長:IVS+1,
恫嚇,ㄉㄨㄥˋ ㄏㄜˋ,ㄉㄨㄥˋ ㄒㄧㄚˋ,恫嚇󠇡,U+606B U+5687 U+E01E1,嚇:IVS+1,
動彈不得,ㄉㄨㄥˋ ㄊㄢˊ ㄅㄨˋ ㄉㄜˊ,ㄉㄨㄥˋ ㄉㄢˋ ㄅㄨˋ ㄉㄜˊ,動彈󠇡不得,U+52D5 U+5F48 U+E01E1 U+4E0D U+5F97,彈:IVS+1,
他倆,ㄊㄚ ㄌㄧㄚˇ,ㄊㄚ ㄌㄧㄤˇ,他倆󠇡,U+4ED6 U+5006 U+E01E1,倆:IVS+1,
他處,ㄊㄚ ㄔㄨˋ,ㄊㄚ ㄔㄨˇ,他處󠇡,U+4ED6 U+8655 U+E01E1,處:IVS+1,
拓碑,ㄊㄚˋ ㄅㄟ,ㄊㄨㄛˋ ㄅㄟ,拓󠇡碑,U+62D3 U+E01E1 U+7891,拓:IVS+1,
拓本,ㄊㄚˋ ㄅㄣˇ,ㄊㄨㄛˋ ㄅㄣˇ,拓󠇡本,U+62D3 U+E01E1 U+672C,拓:IVS+1,
拓片,ㄊㄚˋ ㄆㄧㄢˋ,ㄊㄨㄛˋ ㄆㄧㄢˋ,拓󠇡片,U+62D3 U+E01E1 U+7247,拓:IVS+1,
拓印,ㄊㄚˋ ㄧㄣˋ,ㄊㄨㄛˋ ㄧㄣˋ,拓󠇡印,U+62D3 U+E01E1 U+5370,拓:IVS+1,
檯子,ㄊㄞˊ ˙ㄗ,ㄊㄞˊ ㄗˇ,檯子󠇡,U+6AAF U+5B50 U+E01E1,子:IVS+1,
太平盛世,ㄊㄞˋ ㄆㄧㄥˊ ㄕㄥˋ ㄕˋ,ㄊㄞˋ ㄆㄧㄥˊ ㄔㄥˊ ㄕˋ,太平盛󠇡世,U+592A U+5E73 U+76DB U+E01E1 U+4E16,盛:IVS+1,
太太,ㄊㄞˋ ˙ㄊㄞ,ㄊㄞˋ ㄊㄞˋ,太太󠇡,U+592A U+592A U+E01E1,太:IVS+1,
太監,ㄊㄞˋ ㄐㄧㄢˋ,ㄊㄞˋ ㄐㄧㄢ,太監󠇡,U+592A U+76E3 U+E01E1,監:IVS+1,
叨光,ㄊㄠ ㄍㄨㄤ,ㄉㄠ ㄍㄨㄤ,叨󠇡光,U+53E8 U+E01E1 U+5149,叨:IVS+1,
叨擾,ㄊㄠ ㄖㄠˇ,ㄉㄠ ㄖㄠˇ,叨󠇡擾,U+53E8 U+E01E1 U+64FE,叨:IVS+1,
桃子,ㄊㄠˊ ˙ㄗ,ㄊㄠˊ ㄗˇ,桃子󠇡,U+6843 U+5B50 U+E01E1,子:IVS+1,
逃難,ㄊㄠˊ ㄋㄢˋ,ㄊㄠˊ ㄋㄢˊ,逃難󠇡,U+9003 U+96E3 U+E01E1,難:IVS+1,
討便宜,ㄊㄠˇ ㄆㄧㄢˊ ㄧˊ,ㄊㄠˇ ㄅㄧㄢˋ ㄧˊ,討便󠇡宜,U+8A0E U+4FBF U+E01E1 U+5B9C,便:IVS+1,
討價還價,ㄊㄠˇ ㄐㄧㄚˋ ㄏㄨㄢˊ ㄐㄧㄚˋ,ㄊㄠˇ ㄐㄧㄚˋ ㄏㄞˊ ㄐㄧㄚˋ,討價還󠇡價,U+8A0E U+50F9 U+9084 U+E01E1 U+50F9,還:IVS+1,
偷空,ㄊㄡ ㄎㄨㄥˋ,ㄊㄡ ㄎㄨㄥ,偷空󠇡,U+5077 U+7A7A U+E01E1,空:IVS+1,
偷雞不著蝕把米,ㄊㄡ ㄐㄧ ㄅㄨˋ ㄓㄠˊ ㄕˊ ㄅㄚˇ ㄇㄧˇ,ㄊㄡ ㄐㄧ ㄅㄨˋ ˙ㄓㄜ ㄕˊ ㄅㄚˇ ㄇㄧˇ,偷雞不著󠇣蝕把米,U+5077 U+96DE U+4E0D U+8457 U+E01E3 U+8755 U+628A U+7C73,著:IVS+3,
偷兒,ㄊㄡ ㄦ,ㄊㄡ ㄦˊ,偷兒󠇡,U+5077 U+5152 U+E01E1,兒:IVS+1,
投機分子,ㄊㄡˊ ㄐㄧ ㄈㄣˋ ㄗˇ,ㄊㄡˊ ㄐㄧ ㄈㄣ ㄗˇ,投機分󠇡子,U+6295 U+6A5F U+5206 U+E01E1 U+5B50,分:IVS+1,
投其所好,ㄊㄡˊ ㄑㄧˊ ㄙㄨㄛˇ ㄏㄠˋ,ㄊㄡˊ ㄑㄧˊ ㄙㄨㄛˇ ㄏㄠˇ,投其所好󠇡,U+6295 U+5176 U+6240 U+597D U+E01E1,好:IVS+1,
投降,ㄊㄡˊ ㄒㄧㄤˊ,ㄊㄡˊ ㄐㄧㄤˋ,投降󠇡,U+6295 U+964D U+E01E1,降:IVS+1,
骰子,ㄊㄡˊ ˙ㄗ,ㄊㄡˊ ㄗˇ,骰子󠇡,U+9AB0 U+5B50 U+E01E1,子:IVS+1,
頭子,ㄊㄡˊ ˙ㄗ,ㄊㄡˊ ㄗˇ,頭子󠇡,U+982D U+5B50 U+E01E1,子:IVS+1,
頭兒,ㄊㄡˊ ㄦ,ㄊㄡˊ ㄦˊ,頭兒󠇡,U+982D U+5152 U+E01E1,兒:IVS+1,
貪便宜,ㄊㄢ ㄆㄧㄢˊ ㄧˊ,ㄊㄢ ㄅㄧㄢˋ ㄧˊ,貪便󠇡宜,U+8CAA U+4FBF U+E01E1 U+5B9C,便:IVS+1,
貪小便宜,ㄊㄢ ㄒㄧㄠˇ ㄆㄧㄢˊ ㄧˊ,ㄊㄢ ㄒㄧㄠˇ ㄅㄧㄢˋ ㄧˊ,貪小便󠇡宜,U+8CAA U+5C0F U+4FBF U+E01E1 U+5B9C,便:IVS+1,
攤還,ㄊㄢ ㄏㄨㄢˊ,ㄊㄢ ㄏㄞˊ,攤還󠇡,U+6524 U+9084 U+E01E1,還:IVS+1,
攤子,ㄊㄢ ˙ㄗ,ㄊㄢ ㄗˇ,攤子󠇡,U+6524 U+5B50 U+E01E1,子:IVS+1,
癱倒,ㄊㄢ ㄉㄠˇ,ㄊㄢ ㄉㄠˋ,癱倒󠇡,U+7671 U+5012 U+E01E1,倒:IVS+1,
罈子,ㄊㄢˊ ˙ㄗ,ㄊㄢˊ ㄗˇ,罈子󠇡,U+7F48 U+5B50 U+E01E1,子:IVS+1,
彈跳,ㄊㄢˊ ㄊㄧㄠˋ,ㄉㄢˋ ㄊㄧㄠˋ,彈󠇡跳,U+5F48 U+E01E1 U+8DF3,彈:IVS+1,
彈塗魚,ㄊㄢˊ ㄊㄨˊ ㄩˊ,ㄉㄢˋ ㄊㄨˊ ㄩˊ,彈󠇡塗魚,U+5F48 U+E01E1 U+5857 U+9B5A,彈:IVS+1,
彈腿,ㄊㄢˊ ㄊㄨㄟˇ,ㄉㄢˋ ㄊㄨㄟˇ,彈󠇡腿,U+5F48 U+E01E1 U+817F,彈:IVS+1,
彈力,ㄊㄢˊ ㄌㄧˋ,ㄉㄢˋ ㄌㄧˋ,彈󠇡力,U+5F48 U+E01E1 U+529B,彈:IVS+1,
彈劾,ㄊㄢˊ ㄏㄜˊ,ㄉㄢˋ ㄏㄜˊ,彈󠇡劾,U+5F48 U+E01E1 U+52BE,彈:IVS+1,
彈簧,ㄊㄢˊ ㄏㄨㄤˊ,ㄉㄢˋ ㄏㄨㄤˊ,彈󠇡簧,U+5F48 U+E01E1 U+7C27,彈:IVS+1,
彈簧床,ㄊㄢˊ ㄏㄨㄤˊ ㄔㄨㄤˊ,ㄉㄢˋ ㄏㄨㄤˊ ㄔㄨㄤˊ,彈󠇡簧床,U+5F48 U+E01E1 U+7C27 U+5E8A,彈:IVS+1,
彈性,ㄊㄢˊ ㄒㄧㄥˋ,ㄉㄢˋ ㄒㄧㄥˋ,彈󠇡性,U+5F48 U+E01E1 U+6027,彈:IVS+1,
彈性疲乏,ㄊㄢˊ ㄒㄧㄥˋ ㄆㄧˊ ㄈㄚˊ,ㄉㄢˋ ㄒㄧㄥˋ ㄆㄧˊ ㄈㄚˊ,彈󠇡性疲乏,U+5F48 U+E01E1 U+6027 U+75B2 U+4E4F,彈:IVS+1,
彈性放假,ㄊㄢˊ ㄒㄧㄥˋ ㄈㄤˋ ㄐㄧㄚˋ,ㄉㄢˋ ㄒㄧㄥˋ ㄈㄤˋ ㄐㄧㄚˇ,彈󠇡性放假󠇡,U+5F48 U+E01E1 U+6027 U+653E U+5047 U+E01E1,彈:IVS+1; 假:IVS+1,
彈性工時,ㄊㄢˊ ㄒㄧㄥˋ ㄍㄨㄥ ㄕˊ,ㄉㄢˋ ㄒㄧㄥˋ ㄍㄨㄥ ㄕˊ,彈󠇡性工時,U+5F48 U+E01E1 U+6027 U+5DE5 U+6642,彈:IVS+1,
彈性上班,ㄊㄢˊ ㄒㄧㄥˋ ㄕㄤˋ ㄅㄢ,ㄉㄢˋ ㄒㄧㄥˋ ㄕㄤˋ ㄅㄢ,彈󠇡性上班,U+5F48 U+E01E1 U+6027 U+4E0A U+73ED,彈:IVS+1,
彈指,ㄊㄢˊ ㄓˇ,ㄉㄢˋ ㄓˇ,彈󠇡指,U+5F48 U+E01E1 U+6307,彈:IVS+1,
彈唱,ㄊㄢˊ ㄔㄤˋ,ㄉㄢˋ ㄔㄤˋ,彈󠇡唱,U+5F48 U+E01E1 U+5531,彈:IVS+1,
彈奏,ㄊㄢˊ ㄗㄡˋ,ㄉㄢˋ ㄗㄡˋ,彈󠇡奏,U+5F48 U+E01E1 U+594F,彈:IVS+1,
彈詞,ㄊㄢˊ ㄘˊ,ㄉㄢˋ ㄘˊ,彈󠇡詞,U+5F48 U+E01E1 U+8A5E,彈:IVS+1,
坦率,ㄊㄢˇ ㄕㄨㄞˋ,ㄊㄢˇ ㄌㄩˋ,坦率󠇡,U+5766 U+7387 U+E01E1,率:IVS+1,
毯子,ㄊㄢˇ ˙ㄗ,ㄊㄢˇ ㄗˇ,毯子󠇡,U+6BEF U+5B50 U+E01E1,子:IVS+1,
探子,ㄊㄢˋ ˙ㄗ,ㄊㄢˋ ㄗˇ,探子󠇡,U+63A2 U+5B50 U+E01E1,子:IVS+1,
唐三藏,ㄊㄤˊ ㄙㄢ ㄗㄤˋ,ㄊㄤˊ ㄙㄢ ㄘㄤˊ,唐三藏󠇡,U+5510 U+4E09 U+85CF U+E01E1,藏:IVS+1,
搪塞,ㄊㄤˊ ㄙㄜˋ,ㄊㄤˊ ㄙㄞ,搪塞󠇡,U+642A U+585E U+E01E1,塞:IVS+1,
糖分,ㄊㄤˊ ㄈㄣˋ,ㄊㄤˊ ㄈㄣ,糖分󠇡,U+7CD6 U+5206 U+E01E1,分:IVS+1,
踢毽子,ㄊㄧ ㄐㄧㄢˋ ˙ㄗ,ㄊㄧ ㄐㄧㄢˋ ㄗˇ,踢毽子󠇡,U+8E22 U+6BFD U+5B50 U+E01E1,子:IVS+1,
梯子,ㄊㄧ ˙ㄗ,ㄊㄧ ㄗˇ,梯子󠇡,U+68AF U+5B50 U+E01E1,子:IVS+1,
提得起放得下,ㄊㄧˊ ˙ㄉㄜ ㄑㄧˇ ㄈㄤˋ ˙ㄉㄜ ㄒㄧㄚˋ,ㄊㄧˊ ㄉㄜˊ ㄑㄧˇ ㄈㄤˋ ㄉㄜˊ ㄒㄧㄚˋ,提得󠇡起放得󠇡下,U+63D0 U+5F97 U+E01E1 U+8D77 U+653E U+5F97 U+E01E1 U+4E0B,得:IVS+1; 得:IVS+1,
題署,ㄊㄧˊ ㄕㄨˋ,ㄊㄧˊ ㄕㄨˇ,題署󠇡,U+984C U+7F72 U+E01E1,署:IVS+1,
啼飢號寒,ㄊㄧˊ ㄐㄧ ㄏㄠˊ ㄏㄢˊ,ㄊㄧˊ ㄐㄧ ㄏㄠˋ ㄏㄢˊ,啼飢號󠇡寒,U+557C U+98E2 U+865F U+E01E1 U+5BD2,號:IVS+1,
剃頭擔子,ㄊㄧˋ ㄊㄡˊ ㄉㄢˋ ˙ㄗ,ㄊㄧˋ ㄊㄡˊ ㄉㄢ ㄗˇ,剃頭擔󠇡子󠇡,U+5243 U+982D U+64D4 U+E01E1 U+5B50 U+E01E1,擔:IVS+1; 子:IVS+1,
涕泗縱橫,ㄊㄧˋ ㄙˋ ㄗㄨㄥ ㄏㄥˊ,ㄊㄧˋ ㄙˋ ㄗㄨㄥˋ ㄏㄥˊ,涕泗縱󠇡橫,U+6D95 U+6CD7 U+7E31 U+E01E1 U+6A6B,縱:IVS+1,
屜子,ㄊㄧˋ ˙ㄗ,ㄊㄧˋ ㄗˇ,屜子󠇡,U+5C5C U+5B50 U+E01E1,子:IVS+1,
貼切,ㄊㄧㄝ ㄑㄧㄝˋ,ㄊㄧㄝ ㄑㄧㄝ,貼切󠇡,U+8CBC U+5207 U+E01E1,切:IVS+1,
帖子,ㄊㄧㄝˇ ˙ㄗ,ㄊㄧㄝˇ ㄗˇ,帖子󠇡,U+5E16 U+5B50 U+E01E1,子:IVS+1,
挑肥揀瘦,ㄊㄧㄠ ㄈㄟˊ ㄐㄧㄢˇ ㄕㄡˋ,ㄊㄧㄠˇ ㄈㄟˊ ㄐㄧㄢˇ ㄕㄡˋ,挑󠇡肥揀瘦,U+6311 U+E01E1 U+80A5 U+63C0 U+7626,挑:IVS+1,
挑夫,ㄊㄧㄠ ㄈㄨ,ㄊㄧㄠˇ ㄈㄨ,挑󠇡夫,U+6311 U+E01E1 U+592B,挑:IVS+1,
挑大梁,ㄊㄧㄠ ㄉㄚˋ ㄌㄧㄤˊ,ㄊㄧㄠˇ ㄉㄚˋ ㄌㄧㄤˊ,挑󠇡大梁,U+6311 U+E01E1 U+5927 U+6881,挑:IVS+1,
挑剔,ㄊㄧㄠ ㄊㄧ,ㄊㄧㄠˇ ㄊㄧ,挑󠇡剔,U+6311 U+E01E1 U+5254,挑:IVS+1,
挑高,ㄊㄧㄠ ㄍㄠ,ㄊㄧㄠˇ ㄍㄠ,挑󠇡高,U+6311 U+E01E1 U+9AD8,挑:IVS+1,
挑揀,ㄊㄧㄠ ㄐㄧㄢˇ,ㄊㄧㄠˇ ㄐㄧㄢˇ,挑󠇡揀,U+6311 U+E01E1 U+63C0,挑:IVS+1,
挑選,ㄊㄧㄠ ㄒㄩㄢˇ,ㄊㄧㄠˇ ㄒㄩㄢˇ,挑󠇡選,U+6311 U+E01E1 U+9078,挑:IVS+1,
挑食,ㄊㄧㄠ ㄕˊ,ㄊㄧㄠˇ ㄕˊ,挑󠇡食,U+6311 U+E01E1 U+98DF,挑:IVS+1,
挑嘴,ㄊㄧㄠ ㄗㄨㄟˇ,ㄊㄧㄠˇ ㄗㄨㄟˇ,挑󠇡嘴,U+6311 U+E01E1 U+5634,挑:IVS+1,
挑三揀四,ㄊㄧㄠ ㄙㄢ ㄐㄧㄢˇ ㄙˋ,ㄊㄧㄠˇ ㄙㄢ ㄐㄧㄢˇ ㄙˋ,挑󠇡三揀四,U+6311 U+E01E1 U+4E09 U+63C0 U+56DB,挑:IVS+1,
條子,ㄊㄧㄠˊ ˙ㄗ,ㄊㄧㄠˊ ㄗˇ,條子󠇡,U+689D U+5B50 U+E01E1,子:IVS+1,
挑撥離間,ㄊㄧㄠˇ ㄅㄛ ㄌㄧˊ ㄐㄧㄢˋ,ㄊㄧㄠˇ ㄅㄛ ㄌㄧˊ ㄐㄧㄢ,挑撥離間󠇡,U+6311 U+64A5 U+96E2 U+9593 U+E01E1,間:IVS+1,
跳房子,ㄊㄧㄠˋ ㄈㄤˊ ˙ㄗ,ㄊㄧㄠˋ ㄈㄤˊ ㄗˇ,跳房子󠇡,U+8DF3 U+623F U+5B50 U+E01E1,子:IVS+1,
跳踉,ㄊㄧㄠˋ ㄌㄧㄤˊ,ㄊㄧㄠˋ ㄌㄧㄤˋ,跳踉󠇡,U+8DF3 U+8E09 U+E01E1,踉:IVS+1,
跳行,ㄊㄧㄠˋ ㄏㄤˊ,ㄊㄧㄠˋ ㄒㄧㄥˊ,跳行󠇡,U+8DF3 U+884C U+E01E1,行:IVS+1,
天分,ㄊㄧㄢ ㄈㄣˋ,ㄊㄧㄢ ㄈㄣ,天分󠇡,U+5929 U+5206 U+E01E1,分:IVS+1,
天秤,ㄊㄧㄢ ㄆㄧㄥˊ,ㄊㄧㄢ ㄔㄥˋ,天秤󠇡,U+5929 U+79E4 U+E01E1,秤:IVS+1,
